Expression,(a&&b||c)

sn,sequence,algorithm,pairs,testcase,time
0,1, SA,5, FFF;  FFT;  TFF;  TTF;  FTF,2.96
0,2, GD,4, FTT;  FTF;  TTF;  TFF,2.35
0,3, HC,5, FFT;  FFF;  TFF;  TTF;  FTF,0.61
0,4, LAHC,4, FTT;  FTF;  TTF;  TFF,2.55
0,5, PS,4, FTT;  TFT;  FFF;  TTF,0.19

property, sa, gd, hc, lahc, ps
Max Time,2.96,2.35,0.61,2.55,0.19
Min Time,2.96,2.35,0.61,2.55,0.19
Avg Time,2.96,2.35,0.61,2.55,0.19
Highest Paris, 5, 4, 5, 4, 4
Lowest Paris, 5, 4, 5, 4, 4


Generated by,MCDC Pro
Date,Jan 11 2015 - 01.48
